X,CH1,CH2,
Second,Volt,Volt,
-1.20e-03,4.00e-03,-1.20e-01,
-1.20e-03,0.00e+00,-1.60e-01,
-1.19e-03,4.00e-03,-1.20e-01,
-1.19e-03,0.00e+00,-1.20e-01,
-1.18e-03,4.00e-03,-1.20e-01,
-1.18e-03,0.00e+00,-4.00e-02,
-1.18e-03,4.00e-03,-1.60e-01,
-1.17e-03,0.00e+00,-1.20e-01,
-1.17e-03,6.00e-03,-1.20e-01,
-1.16e-03,0.00e+00,-1.20e-01,
-1.16e-03,4.00e-03,-1.20e-01,
-1.16e-03,0.00e+00,-4.00e-02,
-1.15e-03,2.00e-03,-1.20e-01,
-1.15e-03,4.00e-03,-1.60e-01,
-1.14e-03,2.00e-03,-1.20e-01,
-1.14e-03,0.00e+00,-1.20e-01,
-1.14e-03,0.00e+00,-1.20e-01,
-1.13e-03,2.00e-03,-4.00e-02,
-1.13e-03,0.00e+00,-4.00e-02,
-1.12e-03,4.00e-03,-1.20e-01,
-1.12e-03,4.00e-03,-1.20e-01,
-1.12e-03,0.00e+00,-1.20e-01,
-1.11e-03,4.00e-03,-1.20e-01,
-1.11e-03,0.00e+00,-1.20e-01,
-1.10e-03,4.00e-03,-1.60e-01,
-1.10e-03,0.00e+00,-4.00e-02,
-1.10e-03,8.00e-03,-1.20e-01,
-1.09e-03,2.00e-03,-4.00e-02,
-1.09e-03,0.00e+00,-4.00e-02,
-1.08e-03,2.00e-03,-1.60e-01,
-1.08e-03,2.00e-03,-4.00e-02,
-1.08e-03,0.00e+00,-1.20e-01,
-1.07e-03,0.00e+00,-4.00e-02,
-1.07e-03,4.00e-03,-1.60e-01,
-1.06e-03,4.00e-03,-4.00e-02,
-1.06e-03,0.00e+00,-1.60e-01,
-1.06e-03,2.00e-03,-1.20e-01,
-1.05e-03,4.00e-03,-1.60e-01,
-1.05e-03,2.00e-03,-1.20e-01,
-1.04e-03,0.00e+00,-1.20e-01,
-1.04e-03,0.00e+00,-1.20e-01,
-1.04e-03,4.00e-03,-1.60e-01,
-1.03e-03,2.00e-03,-1.20e-01,
-1.03e-03,-2.00e-03,-1.60e-01,
-1.02e-03,4.00e-03,-1.20e-01,
-1.02e-03,0.00e+00,-1.60e-01,
-1.02e-03,4.00e-03,-1.60e-01,
-1.01e-03,0.00e+00,-4.00e-02,
-1.01e-03,4.00e-03,-1.20e-01,
-1.00e-03,0.00e+00,-4.00e-02,
-1.00e-03,2.00e-03,-4.00e-02,
-9.96e-04,4.00e-03,-1.60e-01,
-9.92e-04,2.00e-03,-1.20e-01,
-9.88e-04,2.00e-03,-1.60e-01,
-9.84e-04,0.00e+00,-4.00e-02,
-9.80e-04,8.00e-03,-1.60e-01,
-9.76e-04,0.00e+00,-4.00e-02,
-9.72e-04,2.00e-03,-1.60e-01,
-9.68e-04,2.00e-03,-1.20e-01,
-9.64e-04,4.00e-03,-1.20e-01,
-9.60e-04,2.00e-03,-1.60e-01,
-9.56e-04,0.00e+00,-1.20e-01,
-9.52e-04,6.00e-03,-1.20e-01,
-9.48e-04,0.00e+00,-4.00e-02,
-9.44e-04,4.00e-03,-1.20e-01,
-9.40e-04,0.00e+00,-4.00e-02,
-9.36e-04,2.00e-03,-1.60e-01,
-9.32e-04,4.00e-03,-4.00e-02,
-9.28e-04,4.00e-03,-1.20e-01,
-9.24e-04,2.00e-03,-1.60e-01,
-9.20e-04,2.00e-03,-1.60e-01,
-9.16e-04,4.00e-03,-4.00e-02,
-9.12e-04,4.00e-03,-1.20e-01,
-9.08e-04,0.00e+00,-4.00e-02,
-9.04e-04,4.00e-03,-1.20e-01,
