X,CH1,CH2,
Second,Volt,Volt,
-3.08e-04,0.00e+00,-7.99e-02,
-3.07e-04,4.00e-03,-7.99e-02,
-3.06e-04,2.00e-03,-7.99e-02,
-3.05e-04,0.00e+00,-7.99e-02,
-3.04e-04,2.00e-03,-7.99e-02,
-3.03e-04,0.00e+00,-7.99e-02,
-3.02e-04,0.00e+00,-7.99e-02,
-3.01e-04,4.00e-03,-7.99e-02,
-3.00e-04,2.00e-03,-7.99e-02,
-2.99e-04,4.00e-03,-7.99e-02,
-2.98e-04,2.00e-03,-7.99e-02,
-2.97e-04,0.00e+00,-7.99e-02,
-2.96e-04,0.00e+00,-7.99e-02,
-2.95e-04,4.00e-03,-7.99e-02,
-2.94e-04,2.00e-03,-7.99e-02,
-2.93e-04,0.00e+00,-7.99e-02,
-2.92e-04,4.00e-03,-7.99e-02,
-2.91e-04,0.00e+00,-7.99e-02,
-2.90e-04,4.00e-03,-7.99e-02,
-2.89e-04,0.00e+00,-7.99e-02,
-2.88e-04,0.00e+00,-7.99e-02,
-2.87e-04,4.00e-03,-7.99e-02,
-2.86e-04,4.00e-03,-7.99e-02,
-2.85e-04,0.00e+00,-2.40e-01,
-2.84e-04,2.00e-03,-7.99e-02,
-2.83e-04,0.00e+00,-7.99e-02,
-2.82e-04,2.00e-03,-7.99e-02,
-2.81e-04,0.00e+00,-2.40e-01,
-2.80e-04,2.00e-03,-7.99e-02,
-2.79e-04,0.00e+00,-7.99e-02,
-2.78e-04,4.00e-03,-7.99e-02,
-2.77e-04,0.00e+00,-2.40e-01,
-2.76e-04,2.00e-03,-2.40e-01,
-2.75e-04,0.00e+00,-7.99e-02,
-2.74e-04,4.00e-03,-7.99e-02,
-2.73e-04,0.00e+00,-7.99e-02,
-2.72e-04,2.00e-03,-7.99e-02,
-2.71e-04,0.00e+00,-7.99e-02,
-2.70e-04,4.00e-03,-7.99e-02,
-2.69e-04,0.00e+00,-7.99e-02,
-2.68e-04,2.00e-03,-7.99e-02,
-2.67e-04,0.00e+00,-7.99e-02,
-2.66e-04,4.00e-03,-7.99e-02,
-2.65e-04,0.00e+00,-2.40e-01,
-2.64e-04,0.00e+00,-7.99e-02,
-2.63e-04,4.00e-03,-7.99e-02,
-2.62e-04,0.00e+00,-7.99e-02,
-2.61e-04,4.00e-03,-7.99e-02,
-2.60e-04,0.00e+00,-7.99e-02,
-2.59e-04,2.00e-03,-7.99e-02,
-2.58e-04,0.00e+00,-7.99e-02,
-2.57e-04,2.00e-03,-2.40e-01,
-2.56e-04,2.00e-03,-7.99e-02,
-2.55e-04,0.00e+00,0.00e+00,
-2.54e-04,0.00e+00,-7.99e-02,
-2.53e-04,4.00e-03,-7.99e-02,
-2.52e-04,0.00e+00,-7.99e-02,
-2.51e-04,2.00e-03,-7.99e-02,
-2.50e-04,2.00e-03,-7.99e-02,
-2.49e-04,0.00e+00,-7.99e-02,
-2.48e-04,2.00e-03,-7.99e-02,
-2.47e-04,4.00e-03,-7.99e-02,
-2.46e-04,2.00e-03,-7.99e-02,
-2.45e-04,0.00e+00,-7.99e-02,
-2.44e-04,2.00e-03,-7.99e-02,
-2.43e-04,0.00e+00,-7.99e-02,
-2.42e-04,4.00e-03,-7.99e-02,
-2.41e-04,0.00e+00,-7.99e-02,
-2.40e-04,4.00e-03,-7.99e-02,
-2.39e-04,0.00e+00,-7.99e-02,
-2.38e-04,0.00e+00,-7.99e-02,
-2.37e-04,4.00e-03,-2.40e-01,
-2.36e-04,4.00e-03,-7.99e-02,
-2.35e-04,0.00e+00,-7.99e-02,
-2.34e-04,2.00e-03,-7.99e-02,
-2.33e-04,0.00e+00,-7.99e-02,
-2.32e-04,0.00e+00,-7.99e-02,
-2.31e-04,2.00e-03,-7.99e-02,
-2.30e-04,2.00e-03,-7.99e-02,
-2.29e-04,0.00e+00,-2.40e-01,
-2.28e-04,0.00e+00,-7.99e-02,
-2.27e-04,4.00e-03,-2.40e-01,
-2.26e-04,-2.00e-03,-7.99e-02,
-2.25e-04,4.00e-03,-7.99e-02,
-2.24e-04,0.00e+00,-7.99e-02,
-2.23e-04,4.00e-03,-7.99e-02,
-2.22e-04,4.00e-03,-7.99e-02,
-2.21e-04,0.00e+00,-7.99e-02,
-2.20e-04,4.00e-03,-7.99e-02,
-2.19e-04,0.00e+00,-7.99e-02,
-2.18e-04,4.00e-03,-7.99e-02,
-2.17e-04,0.00e+00,-7.99e-02,
-2.16e-04,0.00e+00,-7.99e-02,
-2.15e-04,4.00e-03,-7.99e-02,
-2.14e-04,4.00e-03,-7.99e-02,
-2.13e-04,2.00e-03,-7.99e-02,
-2.12e-04,4.00e-03,-7.99e-02,
-2.11e-04,0.00e+00,-7.99e-02,
-2.10e-04,0.00e+00,-2.40e-01,
-2.09e-04,4.00e-03,-7.99e-02,
-2.08e-04,0.00e+00,-7.99e-02,
-2.07e-04,4.00e-03,-2.40e-01,
-2.06e-04,0.00e+00,-7.99e-02,
-2.05e-04,4.00e-03,-7.99e-02,
-2.04e-04,4.00e-03,-7.99e-02,
-2.03e-04,0.00e+00,-7.99e-02,
-2.02e-04,0.00e+00,-7.99e-02,
-2.01e-04,6.00e-03,-2.40e-01,
-2.00e-04,2.00e-03,-7.99e-02,
-1.99e-04,0.00e+00,-7.99e-02,
-1.98e-04,4.00e-03,-7.99e-02,
-1.97e-04,0.00e+00,-2.40e-01,
-1.96e-04,2.00e-03,-7.99e-02,
-1.95e-04,0.00e+00,-7.99e-02,
-1.94e-04,0.00e+00,-7.99e-02,
-1.93e-04,4.00e-03,-7.99e-02,
-1.92e-04,2.00e-03,-7.99e-02,
-1.91e-04,0.00e+00,-7.99e-02,
-1.90e-04,2.00e-03,-7.99e-02,
-1.89e-04,0.00e+00,-7.99e-02,
-1.88e-04,2.00e-03,-7.99e-02,
-1.87e-04,0.00e+00,-7.99e-02,
-1.86e-04,2.00e-03,-7.99e-02,
-1.85e-04,0.00e+00,-7.99e-02,
-1.84e-04,2.00e-03,-7.99e-02,
-1.83e-04,0.00e+00,-7.99e-02,
-1.82e-04,2.00e-03,-7.99e-02,
-1.81e-04,0.00e+00,-7.99e-02,
-1.80e-04,2.00e-03,-7.99e-02,
-1.79e-04,0.00e+00,-7.99e-02,
-1.78e-04,4.00e-03,-7.99e-02,
-1.77e-04,0.00e+00,-7.99e-02,
-1.76e-04,2.00e-03,-7.99e-02,
-1.75e-04,0.00e+00,-7.99e-02,
-1.74e-04,4.00e-03,-7.99e-02,
-1.73e-04,0.00e+00,-7.99e-02,
-1.72e-04,0.00e+00,-7.99e-02,
-1.71e-04,4.00e-03,-7.99e-02,
-1.70e-04,2.00e-03,-7.99e-02,
-1.69e-04,0.00e+00,-7.99e-02,
-1.68e-04,2.00e-03,-7.99e-02,
-1.67e-04,0.00e+00,-7.99e-02,
-1.66e-04,2.00e-03,-7.99e-02,
-1.65e-04,0.00e+00,-7.99e-02,
-1.64e-04,0.00e+00,-7.99e-02,
-1.63e-04,2.00e-03,-7.99e-02,
-1.62e-04,4.00e-03,-7.99e-02,
-1.61e-04,0.00e+00,-7.99e-02,
-1.60e-04,0.00e+00,-7.99e-02,
-1.59e-04,4.00e-03,-7.99e-02,
-1.58e-04,0.00e+00,-7.99e-02,
-1.57e-04,4.00e-03,-7.99e-02,
-1.56e-04,2.00e-03,-7.99e-02,
-1.55e-04,0.00e+00,-7.99e-02,
-1.54e-04,4.00e-03,-7.99e-02,
-1.53e-04,0.00e+00,-7.99e-02,
-1.52e-04,4.00e-03,0.00e+00,
-1.51e-04,0.00e+00,-7.99e-02,
-1.50e-04,0.00e+00,-7.99e-02,
-1.49e-04,6.00e-03,-7.99e-02,
-1.48e-04,4.00e-03,-7.99e-02,
-1.47e-04,8.00e-03,-3.20e-01,
-1.46e-04,1.00e-02,-3.20e-01,
-1.45e-04,1.40e-02,-4.00e-01,
-1.44e-04,1.40e-02,-4.00e-01,
-1.43e-04,2.00e-02,-6.40e-01,
-1.42e-04,2.20e-02,-6.40e-01,
-1.41e-04,2.60e-02,-8.80e-01,
-1.40e-04,2.40e-02,-8.80e-01,
-1.39e-04,3.20e-02,-1.12e+00,
-1.38e-04,3.20e-02,-1.12e+00,
-1.37e-04,3.80e-02,-1.36e+00,
-1.36e-04,3.60e-02,-1.44e+00,
-1.35e-04,4.20e-02,-1.60e+00,
-1.34e-04,4.20e-02,-1.68e+00,
-1.33e-04,4.60e-02,-1.92e+00,
-1.32e-04,4.80e-02,-1.92e+00,
-1.31e-04,5.40e-02,-2.08e+00,
-1.30e-04,5.20e-02,-2.08e+00,
-1.29e-04,5.60e-02,-2.32e+00,
-1.28e-04,5.60e-02,-2.40e+00,
-1.27e-04,6.20e-02,-2.64e+00,
-1.26e-04,6.20e-02,-2.72e+00,
-1.25e-04,6.59e-02,-2.96e+00,
-1.24e-04,6.59e-02,-2.96e+00,
-1.23e-04,7.20e-02,-3.12e+00,
-1.22e-04,7.20e-02,-3.20e+00,
-1.21e-04,7.59e-02,-3.36e+00,
-1.20e-04,7.80e-02,-3.44e+00,
-1.19e-04,7.99e-02,-3.60e+00,
-1.18e-04,8.19e-02,-3.68e+00,
-1.17e-04,8.60e-02,-3.84e+00,
-1.16e-04,8.60e-02,-3.92e+00,
-1.15e-04,9.00e-02,-4.08e+00,
-1.14e-04,9.20e-02,-4.08e+00,
-1.13e-04,9.60e-02,-4.32e+00,
-1.12e-04,9.60e-02,-4.32e+00,
-1.11e-04,1.00e-01,-4.56e+00,
-1.10e-04,1.00e-01,-4.56e+00,
-1.09e-04,1.04e-01,-4.72e+00,
-1.08e-04,1.04e-01,-4.80e+00,
-1.07e-04,1.08e-01,-4.96e+00,
-1.06e-04,1.08e-01,-4.96e+00,
-1.05e-04,1.10e-01,-5.12e+00,
-1.04e-04,1.12e-01,-5.20e+00,
-1.03e-04,1.16e-01,-5.44e+00,
-1.02e-04,1.14e-01,-5.44e+00,
-1.01e-04,1.20e-01,-5.60e+00,
-1.00e-04,1.20e-01,-5.60e+00,
-9.90e-05,1.22e-01,-5.76e+00,
-9.80e-05,1.22e-01,-5.84e+00,
-9.70e-05,1.28e-01,-5.92e+00,
-9.60e-05,1.24e-01,-6.00e+00,
-9.50e-05,1.28e-01,-6.16e+00,
-9.40e-05,1.26e-01,-6.16e+00,
-9.30e-05,1.30e-01,-6.32e+00,
-9.20e-05,1.30e-01,-6.32e+00,
-9.10e-05,1.34e-01,-6.48e+00,
-9.00e-05,1.32e-01,-6.40e+00,
-8.90e-05,1.36e-01,-6.56e+00,
-8.80e-05,1.34e-01,-6.56e+00,
-8.70e-05,1.38e-01,-6.72e+00,
-8.60e-05,1.36e-01,-6.64e+00,
-8.50e-05,1.40e-01,-6.80e+00,
-8.40e-05,1.38e-01,-6.80e+00,
-8.30e-05,1.42e-01,-6.88e+00,
-8.20e-05,1.40e-01,-6.96e+00,
-8.10e-05,1.44e-01,-6.96e+00,
-8.00e-05,1.44e-01,-7.04e+00,
-7.90e-05,1.42e-01,-7.12e+00,
-7.80e-05,1.42e-01,-7.12e+00,
-7.70e-05,1.46e-01,-7.12e+00,
-7.60e-05,1.44e-01,-7.12e+00,
-7.50e-05,1.48e-01,-7.20e+00,
-7.40e-05,1.46e-01,-7.20e+00,
-7.30e-05,1.48e-01,-7.28e+00,
-7.20e-05,1.46e-01,-7.20e+00,
-7.10e-05,1.52e-01,-7.28e+00,
-7.00e-05,1.44e-01,-7.28e+00,
-6.90e-05,1.50e-01,-7.28e+00,
-6.80e-05,1.50e-01,-7.28e+00,
-6.70e-05,1.46e-01,-7.28e+00,
-6.60e-05,1.48e-01,-7.28e+00,
-6.50e-05,1.50e-01,-7.28e+00,
-6.40e-05,1.50e-01,-7.28e+00,
-6.30e-05,1.48e-01,-7.28e+00,
-6.20e-05,1.50e-01,-7.28e+00,
-6.10e-05,1.48e-01,-7.28e+00,
-6.00e-05,1.48e-01,-7.28e+00,
-5.90e-05,1.46e-01,-7.28e+00,
-5.80e-05,1.48e-01,-7.28e+00,
-5.70e-05,1.46e-01,-7.20e+00,
-5.60e-05,1.46e-01,-7.28e+00,
-5.50e-05,1.44e-01,-7.20e+00,
-5.40e-05,1.46e-01,-7.28e+00,
-5.30e-05,1.42e-01,-7.20e+00,
-5.20e-05,1.44e-01,-7.28e+00,
-5.10e-05,1.42e-01,-7.20e+00,
-5.00e-05,1.42e-01,-7.20e+00,
-4.90e-05,1.40e-01,-7.28e+00,
-4.80e-05,1.42e-01,-7.12e+00,
-4.70e-05,1.38e-01,-7.20e+00,
-4.60e-05,1.40e-01,-7.12e+00,
-4.50e-05,1.36e-01,-7.04e+00,
-4.40e-05,1.38e-01,-7.04e+00,
-4.30e-05,1.34e-01,-6.96e+00,
-4.20e-05,1.36e-01,-6.96e+00,
-4.10e-05,1.32e-01,-6.88e+00,
-4.00e-05,1.30e-01,-6.88e+00,
-3.90e-05,1.32e-01,-6.80e+00,
-3.80e-05,1.30e-01,-6.72e+00,
-3.70e-05,1.28e-01,-6.64e+00,
-3.60e-05,1.26e-01,-6.64e+00,
-3.50e-05,1.24e-01,-6.48e+00,
