X;CH1;CH2;Math;0,76;
Second;Volt;Volt;Volt;;
-608;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-606;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-604;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-602;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-600;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-598;-7,99E-02;0,00E+00;-7,99E-02;0,76;
-596;-7,99E-02;-4,00E-02;-3,99E-02;0,76;
-594;0,00E+00;0,00E+00;0,00E+00;0,76;
-592;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-590;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-588;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-586;-4,00E-02;-1,20E-01;8,00E-02;0,76;
-584;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-582;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-580;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-578;-7,99E-02;-4,00E-02;-3,99E-02;0,76;
-576;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-574;0,00E+00;0,00E+00;0,00E+00;0,76;
-572;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-570;-7,99E-02;0,00E+00;-7,99E-02;0,76;
-568;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-566;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-564;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-562;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-560;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-558;-7,99E-02;-4,00E-02;-3,99E-02;0,76;
-556;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-554;-7,99E-02;0,00E+00;-7,99E-02;0,76;
-552;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-550;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-548;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-546;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-544;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-542;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-540;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-538;-7,99E-02;0,00E+00;-7,99E-02;0,76;
-536;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-534;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-532;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-530;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-528;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-526;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-524;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-522;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-520;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-518;0,00E+00;0,00E+00;0,00E+00;0,76;
-516;0,00E+00;-4,00E-02;4,00E-02;0,76;
-514;-7,99E-02;0,00E+00;-7,99E-02;0,76;
-512;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-510;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-508;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-506;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-504;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-502;0,00E+00;-4,00E-02;4,00E-02;0,76;
-500;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-498;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-496;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-494;-7,99E-02;-4,00E-02;-3,99E-02;0,76;
-492;-4,00E-02;-4,00E-02;0,00E+00;0,76;
